SSN,fname,minit,lname,sex,dob,phone_number
296-34-4051,Nils,A,Ravenshaw,Male,12/02/1986,699-938-0922
395-80-4476,Stanislaw,Q,Loding,Male,02/27/1994,188-265-1291
292-01-9632,Rivalee,O,Stubbin,Female,03/19/1989,146-106-5722
704-74-3577,Petey,W,Sitlinton,Male,02/05/2001,438-108-1680
363-73-0711,Mischa,H,Yeld,Male,07/06/1990,995-367-9743
662-68-4581,Hildy,M,Janczewski,Female,10/05/1993,740-712-0431
886-59-4535,Dix,R,Arboine,Female,04/04/1994,384-957-0984
378-54-3995,Cleon,E,Heintzsch,Male,05/26/1998,960-395-2177
635-55-2940,Trixi,L,Dobrovolski,Female,01/15/1998,534-383-7602
350-34-0630,Anatol,D,Scirman,Male,12/08/1985,599-684-4659
853-12-4437,Marysa,K,Cansdall,Female,05/23/1988,833-458-3647
253-95-0662,Zerk,D,McGerraghty,Male,03/18/2000,640-388-3014
591-33-2436,Alvinia,R,Braksper,Female,03/25/1991,311-874-5697
605-77-3464,Torrey,V,Rehm,Male,12/26/2000,992-748-7477
643-10-3023,Jaime,U,Wigan,Female,09/30/1997,218-578-7080
188-19-9804,Neda,B,Duerden,Female,07/18/1991,649-469-3600
186-89-6617,Hillie,U,Riccardini,Male,08/12/1995,875-735-4048
535-17-4251,Reinwald,U,Klazenga,Male,09/12/1997,257-418-2155
171-68-5535,Estella,Z,Gravy,Female,10/28/1993,491-219-9053
454-18-0890,Luigi,D,Bruckent,Male,11/07/1998,810-136-1167
473-77-1827,Sandi,S,Gosney,Female,09/01/1985,271-228-1618
538-75-1880,Donal,H,Tilson,Male,12/21/2000,517-815-5650
684-95-8913,Ainslie,V,Ivanonko,Female,01/29/1996,578-686-6610
418-33-0929,Howey,Q,Berecloth,Male,01/01/2000,936-384-1059
148-36-5731,Nanete,K,Fairleigh,Female,12/28/1986,946-492-1702
383-99-1486,Audra,Y,Nutten,Female,07/15/1997,457-522-8634
763-07-6168,Julie,A,Dauber,Female,10/29/1988,291-390-6633
712-91-2169,Ham,Q,Ivashnikov,Male,03/22/2000,996-920-9325
200-43-1272,Claiborn,C,Sommersett,Male,06/02/1994,567-887-0474
527-60-8610,Margret,T,Heake,Female,03/04/2001,413-981-8021
430-46-0500,Wally,G,Gammett,Female,08/01/1985,227-732-6802
306-05-9239,Lorianna,P,Galland,Female,06/21/1996,959-830-3514
152-30-5420,Nanon,J,Batman,Female,03/03/1985,549-856-0631
581-68-1270,Herold,F,Dashkovich,Male,02/09/1985,961-387-0108
197-19-1240,Harrie,L,Ren,Female,10/15/1999,109-613-6576
477-45-4840,Cathryn,X,Ratnage,Female,12/13/1995,735-576-4946
